Date,Close,Predicted_close
2020-01-06,212.60000610351562,204.0876
2020-01-07,213.05999755859375,203.88185
2020-01-08,215.22000122070312,203.72379
2020-01-09,218.3000030517578,203.59537
2020-01-10,218.05999755859375,203.48558
2020-01-13,221.91000366210938,203.21045
2020-01-14,219.05999755859375,203.12666
2020-01-15,221.14999389648438,203.04408
2020-01-16,221.77000427246094,202.9619
2020-01-17,222.13999938964844,202.8796
2020-01-21,221.44000244140625,202.54347
2020-01-22,221.32000732421875,202.45695
2020-01-23,219.75999450683594,202.36937
2020-01-24,217.94000244140625,202.28069
2020-01-27,214.8699951171875,202.00787
2020-01-28,217.7899932861328,201.91469
2020-01-29,223.22999572753906,201.82037
2020-01-30,209.52999877929688,201.7249
2020-01-31,201.91000366210938,201.62817
2020-02-03,204.19000244140625,201.3313
2020-01-06,212.60000610351562,204.641
2020-01-07,213.05999755859375,204.37216
2020-01-08,215.22000122070312,204.16638
2020-01-09,218.3000030517578,204.00829
2020-01-10,218.05999755859375,203.8798
2020-01-13,221.91000366210938,203.58105
2020-01-14,219.05999755859375,203.49481
2020-01-15,221.14999389648438,203.41104
2020-01-16,221.77000427246094,203.32845
2020-01-17,222.13999938964844,203.24625
2020-01-21,221.44000244140625,202.91327
2020-01-22,221.32000732421875,202.8278
2020-01-23,219.75999450683594,202.74129
2020-01-24,217.94000244140625,202.65367
2020-01-27,214.8699951171875,202.38411
2020-01-28,217.7899932861328,202.29199
2020-01-29,223.22999572753906,202.19875
2020-01-30,209.52999877929688,202.10434
2020-01-31,201.91000366210938,202.00877
2020-02-03,204.19000244140625,201.71475
2020-02-04,209.8300018310547,201.61473
2020-01-07,213.05999755859375,205.09418
2020-01-08,215.22000122070312,204.82497
2020-01-09,218.3000030517578,204.61795
2020-01-10,218.05999755859375,204.45863
2020-01-13,221.91000366210938,204.11948
2020-01-14,219.05999755859375,204.02786
2020-01-15,221.14999389648438,203.94081
2020-01-16,221.77000427246094,203.8562
2020-01-17,222.13999938964844,203.77274
2020-01-21,221.44000244140625,203.4378
2020-01-22,221.32000732421875,203.35219
2020-01-23,219.75999450683594,203.26541
2020-01-24,217.94000244140625,203.17752
2020-01-27,214.8699951171875,202.90672
2020-01-28,217.7899932861328,202.81404
2020-01-29,223.22999572753906,202.72014
2020-01-30,209.52999877929688,202.62505
2020-01-31,201.91000366210938,202.52869
2020-02-03,204.19000244140625,202.23198
2020-02-04,209.8300018310547,202.1307
2020-02-05,210.11000061035156,202.02849
2020-01-13,221.91000366210938,205.37038
2020-01-14,219.05999755859375,205.09303
2020-01-15,221.14999389648438,204.87694
2020-01-16,221.77000427246094,204.69835
2020-01-17,222.13999938964844,204.54335
2020-01-21,221.44000244140625,204.02846
2020-01-22,221.32000732421875,203.91017
2020-01-23,219.75999450683594,203.79308
2020-01-24,217.94000244140625,203.67659
2020-01-27,214.8699951171875,203.32745
2020-01-28,217.7899932861328,203.21063
2020-01-29,223.22999572753906,203.09354
2020-01-30,209.52999877929688,202.97617
2020-01-31,201.91000366210938,202.85844
2020-02-03,204.19000244140625,202.50337
2020-02-04,209.8300018310547,202.38449
2020-02-05,210.11000061035156,202.2654
2020-02-06,210.85000610351562,202.14606
2020-02-07,212.3300018310547,202.02644
2020-02-10,213.05999755859375,201.66708
2020-01-13,221.91000366210938,205.66519
2020-01-14,219.05999755859375,205.28468
2020-01-15,221.14999389648438,204.9935
2020-01-16,221.77000427246094,204.766
2020-01-17,222.13999938964844,204.57755
2020-01-21,221.44000244140625,203.99582
2020-01-22,221.32000732421875,203.8684
2020-01-23,219.75999450683594,203.74336
2020-01-24,217.94000244140625,203.61981
2020-01-27,214.8699951171875,203.25287
2020-01-28,217.7899932861328,203.13089
2020-01-29,223.22999572753906,203.00887
2020-01-30,209.52999877929688,202.88684
2020-01-31,201.91000366210938,202.76476
2020-02-03,204.19000244140625,202.39807
2020-02-04,209.8300018310547,202.27576
2020-02-05,210.11000061035156,202.15344
2020-02-06,210.85000610351562,202.03119
2020-02-07,212.3300018310547,201.90897
2020-02-10,213.05999755859375,201.54277
2020-02-11,207.19000244140625,201.42142
2020-01-14,219.05999755859375,205.59048
2020-01-15,221.14999389648438,205.18852
2020-01-16,221.77000427246094,204.87979
2020-01-17,222.13999938964844,204.63744
2020-01-21,221.44000244140625,203.9532
2020-01-22,221.32000732421875,203.81204
2020-01-23,219.75999450683594,203.67538
2020-01-24,217.94000244140625,203.54152
2020-01-27,214.8699951171875,203.14844
